Metric,Value
Accuracy,0.9819
Macro-F1,0.9811
Micro-F1,0.9819
Weighted-F1,0.9818
Dice,1.0000
IoU,1.0000

Class,Name,F1
0,Normal,1.0000
1,Center,0.9900
2,Donut,0.9901
3,EL,0.9899
4,ER,0.9852
5,LOC,0.9802
6,NF,0.9677
7,S,1.0000
8,Random,0.9942
9,C+EL,0.9901
10,C+ER,0.9901
11,C+L,0.9851
12,C+S,0.9804
13,D+EL,0.9900
14,D+ER,0.9901
15,D+L,0.9849
16,D+S,0.9901
17,EL+L,0.9804
18,EL+S,0.9950
19,ER+L,0.9749
20,ER+S,0.9900
21,L+S,0.9749
22,C+EL+L,0.9600
23,C+EL+S,0.9975
24,C+ER+L,0.9852
25,C+ER+S,0.9899
26,C+L+S,0.9645
27,D+EL+L,0.9901
28,D+EL+S,0.9495
29,D+ER+L,0.9950
30,D+ER+S,0.9608
31,D+L+S,0.9700
32,EL+L+S,0.9637
33,ER+L+S,0.9652
34,C+L+EL+S,0.9436
35,C+L+ER+S,0.9746
36,D+L+EL+S,0.9637
37,D+L+ER+S,0.9950
