Metric,Value
Accuracy,0.9805
Macro-F1,0.9799
Micro-F1,0.9805
Weighted-F1,0.9805
Dice,1.0000
IoU,1.0000

Class,Name,F1
0,Normal,1.0000
1,Center,0.9900
2,Donut,0.9901
3,EL,0.9899
4,ER,0.9804
5,LOC,0.9900
6,NF,0.9677
7,S,0.9852
8,Random,0.9942
9,C+EL,0.9901
10,C+ER,0.9901
11,C+L,0.9802
12,C+S,0.9709
13,D+EL,0.9950
14,D+ER,0.9950
15,D+L,0.9798
16,D+S,0.9901
17,EL+L,0.9852
18,EL+S,0.9899
19,ER+L,0.9751
20,ER+S,0.9950
21,L+S,0.9800
22,C+EL+L,0.9697
23,C+EL+S,0.9950
24,C+ER+L,0.9804
25,C+ER+S,0.9899
26,C+L+S,0.9538
27,D+EL+L,0.9950
28,D+EL+S,0.9596
29,D+ER+L,0.9901
30,D+ER+S,0.9519
31,D+L+S,0.9604
32,EL+L+S,0.9583
33,ER+L+S,0.9552
34,C+L+EL+S,0.9538
35,C+L+ER+S,0.9746
36,D+L+EL+S,0.9691
37,D+L+ER+S,0.9744
