Experiment,Source,Accuracy,Accuracy_Delta,Macro-F1,Macro-F1_Delta,Micro-F1,Micro-F1_Delta,Weighted-F1,Weighted-F1_Delta,Dice,Dice_Delta,IoU,IoU_Delta
e0,e0,0.9824,-,0.9810,-,0.9824,-,0.9824,-,1.0000,-,1.0000,-
e1,e1,0.9805,-0.0019 (-0.2%),0.9799,-0.0011 (-0.1%),0.9805,-0.0019 (-0.2%),0.9805,-0.0019 (-0.2%),1.0000,+0.0000 (+0.0%),1.0000,+0.0000 (+0.0%)
e2,e2,0.9819,-0.0005 (-0.1%),0.9811,+0.0001 (+0.0%),0.9819,-0.0005 (-0.1%),0.9818,-0.0006 (-0.1%),1.0000,+0.0000 (+0.0%),1.0000,+0.0000 (+0.0%)
e3,e3,0.9805,-0.0019 (-0.2%),0.9799,-0.0011 (-0.1%),0.9805,-0.0019 (-0.2%),0.9805,-0.0019 (-0.2%),1.0000,+0.0000 (+0.0%),1.0000,+0.0000 (+0.0%)

Summary
Total experiments found,4
Baseline,e0
Missing experiments,None
